# Region type : patch outlet
# Faces        : 34923
# Area         : 6.0186191e-04
# Scale factor : 1.0000000e+00
# Time         	areaAverage(p)
0.05417        	1.4495167e+00
0.0542001      	1.4512500e+00
0.0542302      	1.4511123e+00
0.0542602      	1.4528447e+00
0.0542903      	1.4527069e+00
0.0543203      	1.4544384e+00
0.0543503      	1.4543006e+00
0.0543803      	1.4560312e+00
0.0544103      	1.4558934e+00
0.0544403      	1.4576231e+00
0.0544703      	1.4574852e+00
0.0545002      	1.4592140e+00
0.0545302      	1.4590761e+00
0.0545601      	1.4608041e+00
0.0545901      	1.4606661e+00
0.05462        	1.4623932e+00
0.0546499      	1.4622551e+00
0.0546798      	1.4639814e+00
0.0547096      	1.4638433e+00
0.0547395      	1.4655687e+00
0.0547694      	1.4654305e+00
0.0547992      	1.4671550e+00
0.054829       	1.4670169e+00
0.0548589      	1.4687405e+00
0.0548887      	1.4686023e+00
0.0549184      	1.4703251e+00
0.0549482      	1.4701868e+00
0.054978       	1.4719087e+00
0.0550078      	1.4717704e+00
0.0550375      	1.4734925e+00
0.0550672      	1.4733570e+00
0.055097       	1.4750782e+00
0.0551267      	1.4749427e+00
0.0551564      	1.4766630e+00
0.0551861      	1.4765275e+00
0.0552157      	1.4782470e+00
0.0552454      	1.4781114e+00
0.055275       	1.4798300e+00
0.0553047      	1.4796944e+00
0.0553343      	1.4814122e+00
0.0553639      	1.4812765e+00
0.0553935      	1.4829934e+00
0.0554231      	1.4828578e+00
0.0554527      	1.4845739e+00
0.0554823      	1.4844382e+00
0.0555118      	1.4861534e+00
0.0555414      	1.4860177e+00
0.0555709      	1.4877321e+00
0.0556004      	1.4875963e+00
0.0556299      	1.4893099e+00
0.0556594      	1.4891741e+00
0.0556889      	1.4908869e+00
0.0557184      	1.4907511e+00
0.0557479      	1.4924630e+00
0.0557773      	1.4923272e+00
0.0558068      	1.4940382e+00
0.0558362      	1.4939024e+00
0.0558656      	1.4956126e+00
0.055895       	1.4954768e+00
0.0559244      	1.4971862e+00
0.0559538      	1.4970503e+00
0.0559832      	1.4987589e+00
0.0560125      	1.4986231e+00
0.0560419      	1.5003308e+00
0.0560712      	1.5001949e+00
0.0561005      	1.5019018e+00
0.0561298      	1.5017660e+00
0.0561591      	1.5034721e+00
0.0561884      	1.5033362e+00
0.0562177      	1.5050415e+00
0.056247       	1.5049056e+00
0.0562762      	1.5066100e+00
0.0563055      	1.5064742e+00
0.0563347      	1.5081778e+00
0.0563639      	1.5080419e+00
0.0563932      	1.5097447e+00
0.0564224      	1.5096089e+00
0.0564515      	1.5113109e+00
0.0564807      	1.5111750e+00
0.0565099      	1.5128762e+00
0.056539       	1.5127404e+00
0.0565682      	1.5144407e+00
0.0565973      	1.5143049e+00
0.0566264      	1.5160045e+00
0.0566556      	1.5158686e+00
0.0566847      	1.5175674e+00
0.0567137      	1.5174316e+00
0.0567428      	1.5191295e+00
0.0567719      	1.5189937e+00
0.0568009      	1.5206909e+00
0.05683        	1.5205551e+00
0.056859       	1.5222514e+00
0.056888       	1.5221157e+00
0.056917       	1.5238112e+00
0.056946       	1.5236754e+00
0.056975       	1.5253702e+00
0.057004       	1.5252345e+00
0.057033       	1.5269284e+00
0.0570619      	1.5267927e+00
0.0570909      	1.5284859e+00
0.0571198      	1.5283502e+00
0.0571487      	1.5300425e+00
0.0571776      	1.5299069e+00
