(
(0.860000	1966.58449760)
(0.861000	1974.11408140)
(0.862000	1981.74657280)
(0.863000	1989.46490940)
(0.864000	1997.25136230)
(0.865000	2005.08820260)
(0.866000	2012.95770140)
(0.867000	2020.84199650)
(0.868000	2028.72375890)
(0.869000	2036.58565960)
(0.870000	2044.41130270)
(0.871000	2052.18469220)
(0.872000	2059.89063190)
(0.873000	2067.51485870)
(0.874000	2075.04404260)
(0.875000	2082.46618660)
(0.876000	2089.77036010)
(0.877000	2096.94696550)
(0.878000	2103.98787150)
(0.879000	2110.88627980)
(0.880000	2117.63712500)
(0.881000	2124.23680800)
(0.882000	2130.68359590)
(0.883000	2136.97735540)
(0.884000	2143.11968610)
(0.885000	2149.11378720)
(0.886000	2154.96485740)
(0.887000	2160.67982830)
(0.888000	2166.26723110)
(0.889000	2171.73746320)
(0.890000	2177.10265490)
(0.891000	2182.37640280)
(0.892000	2187.57403640)
(0.893000	2192.71221820)
(0.894000	2197.80907700)
(0.895000	2202.88420790)
(0.896000	2207.95827240)
(0.897000	2213.05286510)
(0.898000	2218.19091360)
(0.899000	2223.39561210)
(0.900000	2228.69095460)
(0.901000	2234.10160160)
(0.902000	2238.97651590)
(0.903000	2243.77584910)
(0.904000	2248.85497900)
(0.905000	2254.23883270)
(0.906000	2259.95140420)
(0.907000	2266.01682080)
(0.908000	2272.45774350)
(0.909000	2279.29603350)
(0.910000	2286.55235230)
(0.911000	2294.24576180)
(0.912000	2302.39332440)
(0.913000	2311.01050290)
(0.914000	2320.11022740)
(0.915000	2329.70329520)
(0.916000	2339.79743770)
(0.917000	2350.39812020)
(0.918000	2361.50707560)
(0.919000	2373.12363740)
(0.920000	2385.24314010)
(0.921000	2397.85798560)
(0.922000	2410.95684340)
(0.923000	2424.52465060)
(0.924000	2438.54287850)
(0.925000	2452.98913270)
(0.926000	2467.83768630)
(0.927000	2483.05868010)
(0.928000	2498.61918900)
(0.929000	2514.48255550)
(0.930000	2530.60878960)
(0.931000	2546.95483540)
(0.932000	2563.47457110)
(0.933000	2580.11894230)
(0.934000	2596.83689510)
(0.935000	2613.57457630)
(0.936000	2630.27626650)
(0.937000	2646.88491330)
(0.938000	2663.34173140)
(0.939000	2679.58713570)
(0.940000	2695.56100790)
(0.941000	2711.20296310)
(0.942000	2726.45248310)
(0.943000	2741.24984950)
(0.944000	2755.53641030)
(0.945000	2769.25457990)
(0.946000	2782.34837230)
(0.947000	2794.76446750)
